XCoord,YCoord,ID500M
4475750.00000000,3578250.00000000,500mE44755N35780
4476250.00000000,3578250.00000000,500mE44760N35780
4476750.00000000,3578250.00000000,500mE44765N35780
4477250.00000000,3578250.00000000,500mE44770N35780
4477750.00000000,3578250.00000000,500mE44775N35780
4478250.00000000,3578250.00000000,500mE44780N35780
4474750.00000000,3578750.00000000,500mE44745N35785
4475250.00000000,3578750.00000000,500mE44750N35785
4475750.00000000,3578750.00000000,500mE44755N35785
4476250.00000000,3578750.00000000,500mE44760N35785
4476750.00000000,3578750.00000000,500mE44765N35785
4477250.00000000,3578750.00000000,500mE44770N35785
4477750.00000000,3578750.00000000,500mE44775N35785
4478250.00000000,3578750.00000000,500mE44780N35785
4478750.00000000,3578750.00000000,500mE44785N35785
4479250.00000000,3578750.00000000,500mE44790N35785
4479750.00000000,3578750.00000000,500mE44795N35785
4480250.00000000,3578750.00000000,500mE44800N35785
4474750.00000000,3579250.00000000,500mE44745N35790
4475250.00000000,3579250.00000000,500mE44750N35790
4475750.00000000,3579250.00000000,500mE44755N35790
4476250.00000000,3579250.00000000,500mE44760N35790
4476750.00000000,3579250.00000000,500mE44765N35790
4477250.00000000,3579250.00000000,500mE44770N35790
4477750.00000000,3579250.00000000,500mE44775N35790
4478250.00000000,3579250.00000000,500mE44780N35790
4478750.00000000,3579250.00000000,500mE44785N35790
4479250.00000000,3579250.00000000,500mE44790N35790
4479750.00000000,3579250.00000000,500mE44795N35790
4480250.00000000,3579250.00000000,500mE44800N35790
4473750.00000000,3579750.00000000,500mE44735N35795
4474250.00000000,3579750.00000000,500mE44740N35795
4474750.00000000,3579750.00000000,500mE44745N35795
4475250.00000000,3579750.00000000,500mE44750N35795
4475750.00000000,3579750.00000000,500mE44755N35795
4476250.00000000,3579750.00000000,500mE44760N35795
4476750.00000000,3579750.00000000,500mE44765N35795
4477250.00000000,3579750.00000000,500mE44770N35795
4477750.00000000,3579750.00000000,500mE44775N35795
4478250.00000000,3579750.00000000,500mE44780N35795
4478750.00000000,3579750.00000000,500mE44785N35795
4479250.00000000,3579750.00000000,500mE44790N35795
4479750.00000000,3579750.00000000,500mE44795N35795
4480250.00000000,3579750.00000000,500mE44800N35795
4480750.00000000,3579750.00000000,500mE44805N35795
4481250.00000000,3579750.00000000,500mE44810N35795
4481750.00000000,3579750.00000000,500mE44815N35795
4482250.00000000,3579750.00000000,500mE44820N35795
4473750.00000000,3580250.00000000,500mE44735N35800
4474250.00000000,3580250.00000000,500mE44740N35800
4474750.00000000,3580250.00000000,500mE44745N35800
4475250.00000000,3580250.00000000,500mE44750N35800
4475750.00000000,3580250.00000000,500mE44755N35800
4476250.00000000,3580250.00000000,500mE44760N35800
4476750.00000000,3580250.00000000,500mE44765N35800
4477250.00000000,3580250.00000000,500mE44770N35800
4477750.00000000,3580250.00000000,500mE44775N35800
4478250.00000000,3580250.00000000,500mE44780N35800
4478750.00000000,3580250.00000000,500mE44785N35800
4479250.00000000,3580250.00000000,500mE44790N35800
4479750.00000000,3580250.00000000,500mE44795N35800
4480250.00000000,3580250.00000000,500mE44800N35800
4480750.00000000,3580250.00000000,500mE44805N35800
4481250.00000000,3580250.00000000,500mE44810N35800
4481750.00000000,3580250.00000000,500mE44815N35800
4482250.00000000,3580250.00000000,500mE44820N35800
4471750.00000000,3580750.00000000,500mE44715N35805
4472250.00000000,3580750.00000000,500mE44720N35805
4472750.00000000,3580750.00000000,500mE44725N35805
4473250.00000000,3580750.00000000,500mE44730N35805
4473750.00000000,3580750.00000000,500mE44735N35805
4474250.00000000,3580750.00000000,500mE44740N35805
4474750.00000000,3580750.00000000,500mE44745N35805
4475250.00000000,3580750.00000000,500mE44750N35805
4475750.00000000,3580750.00000000,500mE44755N35805
4476250.00000000,3580750.00000000,500mE44760N35805
4476750.00000000,3580750.00000000,500mE44765N35805
4477250.00000000,3580750.00000000,500mE44770N35805
4477750.00000000,3580750.00000000,500mE44775N35805
4478250.00000000,3580750.00000000,500mE44780N35805
4478750.00000000,3580750.00000000,500mE44785N35805
4479250.00000000,3580750.00000000,500mE44790N35805
4479750.00000000,3580750.00000000,500mE44795N35805
4480250.00000000,3580750.00000000,500mE44800N35805
4480750.00000000,3580750.00000000,500mE44805N35805
4481250.00000000,3580750.00000000,500mE44810N35805
4481750.00000000,3580750.00000000,500mE44815N35805
4482250.00000000,3580750.00000000,500mE44820N35805
4482750.00000000,3580750.00000000,500mE44825N35805
4483250.00000000,3580750.00000000,500mE44830N35805
4483750.00000000,3580750.00000000,500mE44835N35805
4484250.00000000,3580750.00000000,500mE44840N35805
4471750.00000000,3581250.00000000,500mE44715N35810
4472250.00000000,3581250.00000000,500mE44720N35810
4472750.00000000,3581250.00000000,500mE44725N35810
4473250.00000000,3581250.00000000,500mE44730N35810
4473750.00000000,3581250.00000000,500mE44735N35810
4474250.00000000,3581250.00000000,500mE44740N35810
4474750.00000000,3581250.00000000,500mE44745N35810
4475250.00000000,3581250.00000000,500mE44750N35810
4475750.00000000,3581250.00000000,500mE44755N35810
4476250.00000000,3581250.00000000,500mE44760N35810
4476750.00000000,3581250.00000000,500mE44765N35810
4477250.00000000,3581250.00000000,500mE44770N35810
4477750.00000000,3581250.00000000,500mE44775N35810
4478250.00000000,3581250.00000000,500mE44780N35810
4478750.00000000,3581250.00000000,500mE44785N35810
4479250.00000000,3581250.00000000,500mE44790N35810
4479750.00000000,3581250.00000000,500mE44795N35810
4480250.00000000,3581250.00000000,500mE44800N35810
4480750.00000000,3581250.00000000,500mE44805N35810
4481250.00000000,3581250.00000000,500mE44810N35810
4481750.00000000,3581250.00000000,500mE44815N35810
4482250.00000000,3581250.00000000,500mE44820N35810
4482750.00000000,3581250.00000000,500mE44825N35810
4483250.00000000,3581250.00000000,500mE44830N35810
4483750.00000000,3581250.00000000,500mE44835N35810
4484250.00000000,3581250.00000000,500mE44840N35810
