XCoord,YCoord,XCOORD,YCOORD,ID500M
4475750.00000000,3578250.00000000,4475750.000000,3578250.000000,500mE44755N35780
4476250.00000000,3578250.00000000,4476250.000000,3578250.000000,500mE44760N35780
4474750.00000000,3578750.00000000,4474750.000000,3578750.000000,500mE44745N35785
4475250.00000000,3578750.00000000,4475250.000000,3578750.000000,500mE44750N35785
4475750.00000000,3578750.00000000,4475750.000000,3578750.000000,500mE44755N35785
4476250.00000000,3578750.00000000,4476250.000000,3578750.000000,500mE44760N35785
4476750.00000000,3578750.00000000,4476750.000000,3578750.000000,500mE44765N35785
4474750.00000000,3579250.00000000,4474750.000000,3579250.000000,500mE44745N35790
4475250.00000000,3579250.00000000,4475250.000000,3579250.000000,500mE44750N35790
4475750.00000000,3579250.00000000,4475750.000000,3579250.000000,500mE44755N35790
4476250.00000000,3579250.00000000,4476250.000000,3579250.000000,500mE44760N35790
4473750.00000000,3579750.00000000,4473750.000000,3579750.000000,500mE44735N35795
4474250.00000000,3579750.00000000,4474250.000000,3579750.000000,500mE44740N35795
4474750.00000000,3579750.00000000,4474750.000000,3579750.000000,500mE44745N35795
4475250.00000000,3579750.00000000,4475250.000000,3579750.000000,500mE44750N35795
4475750.00000000,3579750.00000000,4475750.000000,3579750.000000,500mE44755N35795
4476250.00000000,3579750.00000000,4476250.000000,3579750.000000,500mE44760N35795
4473750.00000000,3580250.00000000,4473750.000000,3580250.000000,500mE44735N35800
4474250.00000000,3580250.00000000,4474250.000000,3580250.000000,500mE44740N35800
4474750.00000000,3580250.00000000,4474750.000000,3580250.000000,500mE44745N35800
4475250.00000000,3580250.00000000,4475250.000000,3580250.000000,500mE44750N35800
4475750.00000000,3580250.00000000,4475750.000000,3580250.000000,500mE44755N35800
4476250.00000000,3580250.00000000,4476250.000000,3580250.000000,500mE44760N35800
4471750.00000000,3580750.00000000,4471750.000000,3580750.000000,500mE44715N35805
4472250.00000000,3580750.00000000,4472250.000000,3580750.000000,500mE44720N35805
4472750.00000000,3580750.00000000,4472750.000000,3580750.000000,500mE44725N35805
4473250.00000000,3580750.00000000,4473250.000000,3580750.000000,500mE44730N35805
4473750.00000000,3580750.00000000,4473750.000000,3580750.000000,500mE44735N35805
4474250.00000000,3580750.00000000,4474250.000000,3580750.000000,500mE44740N35805
4474750.00000000,3580750.00000000,4474750.000000,3580750.000000,500mE44745N35805
4475250.00000000,3580750.00000000,4475250.000000,3580750.000000,500mE44750N35805
4475750.00000000,3580750.00000000,4475750.000000,3580750.000000,500mE44755N35805
