XCoord,YCoord,layer
4459750,3691250,0
4460250,3691250,0
4460750,3691250,0
4461250,3691250,0
4461750,3691250,0
4462250,3691250,0
4462750,3691250,0
4463250,3691250,0
4463750,3691250,0
4464250,3691250,0
4464750,3691250,0
4465250,3691250,0
4465750,3691250,0
4466250,3691250,0
4466750,3691250,0
4467250,3691250,0
4467750,3691250,0
4468250,3691250,0
4468750,3691250,0
4469250,3691250,0
4469750,3691250,0
4470250,3691250,0
4470750,3691250,0
4471250,3691250,0
4471750,3691250,0
4472250,3691250,0
4472750,3691250,0
4473250,3691250,0
4473750,3691250,0
4474250,3691250,0
4474750,3691250,0
4475250,3691250,0
4475750,3691250,0
4476250,3691250,0
4476750,3691250,0
4477250,3691250,0
4477750,3691250,0
4478250,3691250,0
4478750,3691250,0
4479250,3691250,0
4479750,3691250,0
4480250,3691250,0
4480750,3691250,0
4481250,3691250,1
4481750,3691250,1
4482250,3691250,1
4482750,3691250,1
4483250,3691250,1
4483750,3691250,1
4484250,3691250,1
4484750,3691250,1
4485250,3691250,1
4485750,3691250,1
4486250,3691250,1
4486750,3691250,1
4487250,3691250,1
4487750,3691250,1
4488250,3691250,1
4488750,3691250,1
4489250,3691250,1
4489750,3691250,1
4490250,3691250,1
4490750,3691250,1
4491250,3691250,1
4491750,3691250,0.174847725931479
4492250,3691250,0
4492750,3691250,0
4493250,3691250,0
4493750,3691250,0
4494250,3691250,0
4494750,3691250,0
4495250,3691250,0
4495750,3691250,0
4496250,3691250,0
4496750,3691250,0
4497250,3691250,0
4497750,3691250,0
4498250,3691250,0
4498750,3691250,0
4499250,3691250,0
4499750,3691250,0
4500250,3691250,0
4500750,3691250,0
4501250,3691250,0
4501750,3691250,0
4502250,3691250,0
4502750,3691250,0
4503250,3691250,0
4503750,3691250,0
4504250,3691250,0
4504750,3691250,0
4505250,3691250,0
4505750,3691250,0
4506250,3691250,0
4506750,3691250,0
4507250,3691250,0
4507750,3691250,0
4508250,3691250,0
4508750,3691250,0
4509250,3691250,0
4509750,3691250,0
4510250,3691250,0
4510750,3691250,0
4511250,3691250,0
4511750,3691250,0
4512250,3691250,0
4512750,3691250,0
4513250,3691250,0
4513750,3691250,0
4459750,3690750,0
4460250,3690750,0
4460750,3690750,0
4461250,3690750,0
4461750,3690750,0
4462250,3690750,0
4462750,3690750,0
4463250,3690750,0
4463750,3690750,0
4464250,3690750,0
4464750,3690750,0
4465250,3690750,0
4465750,3690750,0
4466250,3690750,0
4466750,3690750,0
4467250,3690750,0
4467750,3690750,0
4468250,3690750,0
4468750,3690750,0
4469250,3690750,0
4469750,3690750,0
4470250,3690750,0
4470750,3690750,0
4471250,3690750,0
4471750,3690750,0
4472250,3690750,0
4472750,3690750,0
4473250,3690750,0
4473750,3690750,0
4474250,3690750,0
4474750,3690750,0
4475250,3690750,0
4475750,3690750,0
4476250,3690750,0
4476750,3690750,0
4477250,3690750,0
4477750,3690750,0
4478250,3690750,0
4478750,3690750,0
4479250,3690750,0
4479750,3690750,0
4480250,3690750,0
4480750,3690750,0
4481250,3690750,0.603937095057295
4481750,3690750,1
4482250,3690750,1
4482750,3690750,1
4483250,3690750,1
4483750,3690750,1
4484250,3690750,1
4484750,3690750,1
4485250,3690750,1
4485750,3690750,1
4486250,3690750,1
4486750,3690750,1
4487250,3690750,1
4487750,3690750,1
4488250,3690750,1
4488750,3690750,1
4489250,3690750,1
4489750,3690750,1
4490250,3690750,1
4490750,3690750,1
4491250,3690750,1
4491750,3690750,1
4492250,3690750,0.132934293320549
4492750,3690750,0
4493250,3690750,0
4493750,3690750,0
4494250,3690750,0
4494750,3690750,0
4495250,3690750,0
4495750,3690750,0
4496250,3690750,0
4496750,3690750,0
4497250,3690750,0
4497750,3690750,0
4498250,3690750,0
4498750,3690750,0
4499250,3690750,0
4499750,3690750,0
4500250,3690750,0
4500750,3690750,0
4501250,3690750,0
4501750,3690750,0
4502250,3690750,0
4502750,3690750,0
4503250,3690750,0
4503750,3690750,0
4504250,3690750,0
4504750,3690750,0
4505250,3690750,0
4505750,3690750,0
4506250,3690750,0
4506750,3690750,0
4507250,3690750,0
4507750,3690750,0
4508250,3690750,0
4508750,3690750,0
4509250,3690750,0
4509750,3690750,0
4510250,3690750,0
4510750,3690750,0
4511250,3690750,0
4511750,3690750,0
4512250,3690750,0
4512750,3690750,0
4513250,3690750,0
4513750,3690750,0
4459750,3690250,0
4460250,3690250,0
4460750,3690250,0
4461250,3690250,0
4461750,3690250,0
4462250,3690250,0
4462750,3690250,0
4463250,3690250,0
4463750,3690250,0
4464250,3690250,0
4464750,3690250,0
4465250,3690250,0
4465750,3690250,0
4466250,3690250,0
4466750,3690250,0
4467250,3690250,0
4467750,3690250,0
